Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
1500,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6750000.0
1435,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6456999.0
1310,93,3.0,0,1.0,1.0,1.0,1.0,0.0,5240000.0
1030,93,2.0,0,1.0,1.0,1.0,1.0,0.0,4120000.0000000005
1275,80,3.0,0,1.0,1.0,1.0,1.0,1.0,7012000.0
1490,80,3.0,0,1.0,1.0,1.0,1.0,1.0,8195000.0
1706,493,3.0,0,1.0,1.0,0.0,1.0,1.0,8050000.0
1258,493,2.0,0,1.0,1.0,0.0,1.0,1.0,5900000.0
1723,493,3.0,0,1.0,1.0,0.0,1.0,1.0,8100000.0
1369,493,2.0,0,1.0,1.0,0.0,1.0,1.0,6400000.0
1335,493,2.0,0,1.0,1.0,0.0,1.0,1.0,6275000.0
2000,710,3.0,0,0.0,1.0,1.0,1.0,1.0,14400000.0
1900,710,3.0,0,0.0,1.0,1.0,1.0,1.0,13700000.0
1560,710,3.0,0,0.0,1.0,1.0,1.0,1.0,11399999.0
1097,77,2.0,0,0.0,1.0,1.0,1.0,1.0,4500000.0
1310,93,3.0,0,1.0,1.0,1.0,1.0,0.0,5240000.0
1030,93,2.0,0,1.0,1.0,1.0,1.0,0.0,4120000.0000000005
3300,227,4.0,0,0.0,1.0,1.0,1.0,1.0,29600000.0
1216,681,2.0,0,1.0,1.0,1.0,1.0,1.0,8954000.0
1195,681,2.0,0,1.0,1.0,1.0,1.0,1.0,8800000.0
2321,681,3.0,0,1.0,1.0,1.0,1.0,1.0,15400000.0
1655,681,3.0,0,1.0,1.0,1.0,1.0,1.0,11000000.0
1505,672,3.0,0,0.0,1.0,0.0,1.0,0.0,5267000.0
1002,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3507000.0
1376,672,3.0,0,0.0,1.0,0.0,1.0,0.0,4816000.0
1232,672,2.0,0,0.0,1.0,0.0,1.0,0.0,4312000.0
1513,672,3.0,0,0.0,1.0,0.0,1.0,0.0,5295000.0
1056,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3696000.0
1183,672,2.0,0,0.0,1.0,0.0,1.0,0.0,4140000.0
1095,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3832000.0
965,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3377000.0000000005
1303,672,3.0,0,0.0,1.0,0.0,1.0,0.0,4560000.0
1433,672,3.0,0,0.0,1.0,0.0,1.0,0.0,5015000.0
1077,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3769000.0
985,672,2.0,0,0.0,1.0,0.0,1.0,0.0,3447000.0
